Crack1_30,Crack1_50,Crack2_30,Crack2_50,Crack3_30,Crack3_50,Crack4_30,Crack4_50,Crack5_30,Crack5_50,Crack6_30,Crack6_50,Anomaly_Label,Anomaly_Score,Anomaly_Status
0.10791,-2.96262,3.61008,-4.14963,0.05886,3.58065,-0.45126,-1.01043,-2.00124,1.52055,1.03005,4.09077,1,0.10821963053921613,Normal
1.58922,-3.88476,3.21768,-4.18887,-0.36297,2.98224,0.37278,-1.49112,-2.2563,1.24587,1.962,2.09934,1,0.11474279327375098,Normal
0.90252,-3.32559,3.21768,-4.01229,0.37278,3.18825,-0.13734,-2.44269,-1.4715,0.76518,3.75723,0.1962,1,0.12368982664001388,Normal
1.40283,-2.14839,3.81609,-3.89457,0.55917,3.88476,0.16677,-2.66832,0.86328,1.44207,2.90376,-1.53036,1,0.10502556790896078,Normal
1.13796,-0.06867,3.20787,-2.96262,-0.69651,5.45436,-0.42183,-3.29616,-2.09934,0.33354,2.26611,-2.61927,1,0.10130485100302916,Normal
2.51136,-0.2943,1.92276,-3.6297,-0.89271,4.72842,-0.28449,-3.59046,-2.20725,0.51993,1.99143,-2.56041,1,0.12498306737814513,Normal
1.2753,1.25568,1.30473,-2.75661,-0.43164,3.30597,-0.51012,-3.90438,-0.3924,1.09872,1.8639,-3.35502,1,0.14555810005617204,Normal
1.20663,0.57879,1.54998,-2.75661,-0.69651,1.41264,-0.73575,-4.22811,0.35316,0.92214,1.4715,-4.0221,1,0.14241681051811456,Normal
0.96138,1.19682,0.71613,-1.30473,-1.69713,2.51136,-1.03005,-5.07177,-1.72656,1.11834,1.33416,-3.30597,1,0.13638730136687505,Normal
1.40283,-0.12753,0.16677,-0.35316,-1.6677,1.65789,-0.33354,-3.95343,-0.28449,0.59841,4.20849,-4.71861,1,0.1306412631313742,Normal
0.87309,-0.82404,0.0,0.13734,-0.54936,0.57879,-0.76518,-4.39488,0.53955,-0.05886,4.48317,-5.47398,1,0.1288587069591332,Normal
0.89271,-0.60822,-0.22563,1.42245,-0.10791,0.52974,-0.66708,-3.97305,0.32373,-0.03924,1.82466,-4.60089,1,0.15615158206329577,Normal
0.32373,-0.77499,-0.40221,2.61927,-2.05029,2.58003,-0.74556,-3.64932,-0.07848,0.59841,1.55979,-4.08096,1,0.14107892357192742,Normal
0.62784,-1.45188,-0.86328,2.82528,-2.31516,2.20725,-1.48131,-3.84552,1.60884,0.10791,0.99081,-3.74742,1,0.12037285141517168,Normal
0.21582,-0.36297,-1.42245,1.78542,-1.2753,-0.81423,-1.38321,-3.90438,2.1582,0.0,1.2753,-2.52117,1,0.15045166632848883,Normal
0.13734,0.72594,-1.33416,1.59903,-1.16739,-1.962,-1.25568,-3.65913,1.75599,0.54936,-0.01962,-2.72718,1,0.14828552185196997,Normal
-1.12815,0.50031,-1.11834,2.22687,-1.28511,1.05948,-0.83385,-3.84552,0.80442,0.46107,2.10915,-2.52117,1,0.15474848120667106,Normal
-0.59841,0.02943,-1.10853,0.55917,0.48069,0.96138,-0.94176,-2.5506,0.61803,0.85347,2.32497,-1.15758,1,0.16198429568494793,Normal
-1.19682,-0.30411,-0.7848,1.01043,0.46107,-1.32435,-0.57879,-3.12939,1.59903,-0.53955,0.69651,-1.41264,1,0.1614798332643989,Normal
-1.54017,-0.59841,-0.77499,0.54936,0.97119,0.46107,-0.75537,-3.87495,1.64808,0.42183,0.21582,0.4905,1,0.1541350022815947,Normal
-1.50093,-1.70694,-0.13734,1.0791,2.10915,0.42183,0.17658,-3.00186,0.92214,0.82404,1.53036,-0.0981,1,0.15499233676356583,Normal
-1.48131,-1.16739,0.14715,0.51993,2.19744,1.34397,-0.31392,-2.54079,1.11834,0.56898,0.77499,-0.87309,1,0.16372143551963486,Normal
-1.38321,-0.51993,-1.01043,0.13734,2.46231,1.53036,-0.1962,-3.15882,1.95219,0.48069,-0.64746,0.28449,1,0.1454790059077417,Normal
-1.38321,-0.18639,-0.00981,0.6867,2.19744,2.79585,0.17658,-2.04048,1.12815,1.80504,-0.10791,-0.03924,1,0.16289356360606716,Normal
-1.19682,-0.63765,0.0,-1.13796,1.94238,3.74742,-0.10791,-2.03067,-0.81423,1.36359,-1.55979,-1.04967,1,0.15681837956086542,Normal
-0.66708,-0.37278,0.23544,-1.7658,3.3354,3.25692,0.51012,-0.95157,0.17658,2.30535,-2.47212,-1.59903,1,0.13611105940488571,Normal
-0.67689,-0.33354,0.2943,-1.84428,3.09015,3.94362,0.0981,-1.01043,0.69651,1.62846,-1.53036,-0.67689,1,0.1355560927108816,Normal
-0.81423,-0.51012,0.1962,-2.79585,2.79585,2.93319,0.59841,-0.63765,0.34335,1.38321,0.51993,-1.28511,1,0.14501571020502163,Normal
-0.65727,-1.2753,0.80442,-2.98224,3.47274,5.71923,0.84366,0.12753,-1.04967,0.89271,0.91233,-2.21706,1,0.10305873277696498,Normal
-0.50031,0.40221,0.99081,-2.41326,2.28573,6.85719,0.99081,1.49112,0.63765,0.5886,-0.26487,-1.93257,1,0.11825669986349058,Normal
-0.77499,1.64808,0.18639,-2.32497,2.99205,7.30845,0.34335,1.67751,0.37278,-0.03924,-1.16739,-0.8829,1,0.10265951178044103,Normal
